(480978098, 758598750, 1873175389)
(967705986, 823070452, 521846307)
(978763573, 790409323, 1712091992)
(1321405333, 101558674, 1824353597)
(1346371035, 1190048866, 1296803409)
(1465787217, 694009042, 1579977634)
(1906664317, 148814320, 155495772)
(2005765530, 1782055796, 700878533)
(2100038362, 1392529290, 279569586)
(2135017044, 215783667, 1218494033)
(2135017044, 215783667, 1218494033)
(1465787217, 694009042, 1579977634)
(1906664317, 148814320, 155495772)
(1321405333, 101558674, 1824353597)
(480978098, 758598750, 1873175389)
(2100038362, 1392529290, 279569586)
(2005765530, 1782055796, 700878533)
(1346371035, 1190048866, 1296803409)
(967705986, 823070452, 521846307)
(978763573, 790409323, 1712091992)
(1465787217, 694009042, 1579977634)
(1906664317, 148814320, 155495772)
